x,y,z,rx,ry,rz
-0.7632591413824946,-0.4058320842749146,0.6333333333333333,4.041,1.516,-1.466
-0.25082999379346915,0.8747481433038702,0.6333333333333333,4.041,1.516,-1.466
-0.41784147258218046,0.8083987282216337,0.6333333333333333,4.041,1.516,-1.466
-0.5685575482350036,0.71052256427576,0.6333333333333333,4.041,1.516,-1.466
-0.6971004432382699,0.5849367248147509,0.6333333333333333,4.041,1.516,-1.466
-0.7984571121386698,0.4365389330577239,0.6333333333333333,4.041,1.516,-1.466
-0.8686747453454361,0.27111655574501886,0.6333333333333333,4.041,1.516,-1.466
-0.9050149247851288,0.0951209015735645,0.6333333333333333,4.041,1.516,-1.466
-0.906060419491322,-0.08458437344574705,0.6333333333333333,4.041,1.516,-1.466
-0.8717704562070948,-0.26099094176709225,0.6333333333333333,4.041,1.516,-1.466
-0.8034823095016235,-0.4272191221351607,0.6333333333333333,4.041,1.516,-1.466
-0.13781867790849953,0.48063084796915945,0.6888888888888889,4.041,1.516,-1.466
-0.22958322669350575,0.44417512539650206,0.6888888888888889,4.041,1.516,-1.466
-0.31239425727198,0.39039701333832966,0.6888888888888889,4.041,1.516,-1.466
-0.38302222155948895,0.32139380484326974,0.6888888888888889,4.041,1.516,-1.466
-0.43871269897729104,0.239856556625123,0.6888888888888889,4.041,1.516,-1.466
-0.47729381612386595,0.14896514051924112,0.6888888888888889,4.041,1.516,-1.466
-0.4972609476841367,0.052264231633826645,0.6888888888888889,4.041,1.516,-1.466
-0.4978353953249022,-0.04647493046469618,0.6888888888888889,4.041,1.516,-1.466
-0.4789947561577444,-0.1434016163555452,0.6888888888888889,4.041,1.516,-1.466
-0.44147379642946344,-0.23473578139294543,0.6888888888888889,4.041,1.516,-1.466
-0.15037549078460727,0.5244216585619051,0.6888888888888889,4.041,1.516,-1.466
-0.2505008095700252,0.48464441459929447,0.6888888888888889,4.041,1.516,-1.466
-0.3408568451567604,0.42596651899804416,0.6888888888888889,4.041,1.516,-1.466
-0.41791980174602017,0.3506763515067677,0.6888888888888889,4.041,1.516,-1.466
-0.4786843004396665,0.2617101540065231,0.6888888888888889,4.041,1.516,-1.466
-0.5207805860373738,0.16253751998877197,0.6888888888888889,4.041,1.516,-1.466
-0.5425669451398025,0.05702608384935307,0.6888888888888889,4.041,1.516,-1.466
-0.5431937313433933,-0.05070931301814628,0.6888888888888889,4.041,1.516,-1.466
-0.5226365006076722,-0.1564670969568282,0.6888888888888889,4.041,1.516,-1.466
-0.48169696454859234,-0.2561228192531916,0.6888888888888889,4.041,1.516,-1.466
-0.162932303660715,0.5682124691546507,0.6888888888888889,4.041,1.516,-1.466
-0.2714183924465446,0.5251137038020869,0.6888888888888889,4.041,1.516,-1.466
-0.3693194330415408,0.4615360246577586,0.6888888888888889,4.041,1.516,-1.466
-0.4528173819325514,0.37995889817026557,0.6888888888888889,4.041,1.516,-1.466
-0.5186559019020419,0.2835637513879232,0.6888888888888889,4.041,1.516,-1.466
-0.5642673559508815,0.17610989945830285,0.6888888888888889,4.041,1.516,-1.466
-0.5878729425954683,0.061787936064879506,0.6888888888888889,4.041,1.516,-1.466
-0.5885520673618844,-0.054943695571596375,0.6888888888888889,4.041,1.516,-1.466
-0.5662782450576,-0.1695325775581112,0.6888888888888889,4.041,1.516,-1.466
-0.5219201326677213,-0.27750985711343773,0.6888888888888889,4.041,1.516,-1.466
-0.17548911653682275,0.6120032797473964,0.6888888888888889,4.041,1.516,-1.466
-0.292335975323064,0.5655829930048794,0.6888888888888889,4.041,1.516,-1.466
-0.39778202092632126,0.4971055303174731,0.6888888888888889,4.041,1.516,-1.466
-0.4877149621190826,0.4092414448337635,0.6888888888888889,4.041,1.516,-1.466
-0.5586275033644172,0.3054173487693233,0.6888888888888889,4.041,1.516,-1.466
-0.6077541258643894,0.1896822789278337,0.6888888888888889,4.041,1.516,-1.466
-0.6331789400511341,0.06654978828040593,0.6888888888888889,4.041,1.516,-1.466
-0.6339104033803755,-0.059178078125046475,0.6888888888888889,4.041,1.516,-1.466
-0.6099199895075279,-0.18259805815939423,0.6888888888888889,4.041,1.516,-1.466
-0.5621433007868502,-0.2988968949736839,0.6888888888888889,4.041,1.516,-1.466
-0.18804592941293047,0.655794090340142,0.6888888888888889,4.041,1.516,-1.466
-0.31325355819958345,0.6060522822076717,0.6888888888888889,4.041,1.516,-1.466
-0.42624460881110166,0.5326750359771876,0.6888888888888889,4.041,1.516,-1.466
-0.5226125423056138,0.4385239914972614,0.6888888888888889,4.041,1.516,-1.466
-0.5985991048267927,0.32727094615072344,0.6888888888888889,4.041,1.516,-1.466
-0.6512408957778971,0.20325465839736456,0.6888888888888889,4.041,1.516,-1.466
-0.6784849375068,0.07131164049593236,0.6888888888888889,4.041,1.516,-1.466
-0.6792687393988666,-0.06341246067849657,0.6888888888888889,4.041,1.516,-1.466
-0.6535617339574558,-0.19566353876067724,0.6888888888888889,4.041,1.516,-1.466
-0.6023664689059791,-0.32028393283393003,0.6888888888888889,4.041,1.516,-1.466
-0.2006027422890382,0.6995849009328877,0.6888888888888889,4.041,1.516,-1.466
-0.33417114107610285,0.6465215714104642,0.6888888888888889,4.041,1.516,-1.466
-0.45470719669588205,0.5682445416369021,0.6888888888888889,4.041,1.516,-1.466
-0.557510122492145,0.46780653816075934,0.6888888888888889,4.041,1.516,-1.466
-0.6385707062891681,0.3491245435321235,0.6888888888888889,4.041,1.516,-1.466
-0.694727665691405,0.21682703786689542,0.6888888888888889,4.041,1.516,-1.466
-0.7237909349624657,0.07607349271145879,0.6888888888888889,4.041,1.516,-1.466
-0.7246270754173577,-0.06764684323194667,0.6888888888888889,4.041,1.516,-1.466
-0.6972034784073836,-0.20872901936196023,0.6888888888888889,4.041,1.516,-1.466
-0.642589637025108,-0.3416709706941762,0.6888888888888889,4.041,1.516,-1.466
-0.21315955516514593,0.7433757115256333,0.6888888888888889,4.041,1.516,-1.466
-0.3550887239526222,0.6869908606132565,0.6888888888888889,4.041,1.516,-1.466
-0.4831697845806624,0.6038140472966165,0.6888888888888889,4.041,1.516,-1.466
-0.5924077026786763,0.4970890848242572,0.6888888888888889,4.041,1.516,-1.466
-0.6785423077515434,0.3709781409135236,0.6888888888888889,4.041,1.516,-1.466
-0.7382144356049126,0.23039941733642627,0.6888888888888889,4.041,1.516,-1.466
-0.7690969324181314,0.08083534492698521,0.6888888888888889,4.041,1.516,-1.466
-0.7699854114358486,-0.07188122578539675,0.6888888888888889,4.041,1.516,-1.466
-0.7408452228573114,-0.2217944999632432,0.6888888888888889,4.041,1.516,-1.466
-0.6828128051442368,-0.3630580085544223,0.6888888888888889,4.041,1.516,-1.466
-0.22571636804125367,0.7871665221183789,0.6888888888888889,4.041,1.516,-1.466
-0.37600630682914166,0.7274601498160489,0.6888888888888889,4.041,1.516,-1.466
-0.5116323724654428,0.639383552956331,0.6888888888888889,4.041,1.516,-1.466
-0.6273052828652075,0.5263716314877551,0.6888888888888889,4.041,1.516,-1.466
-0.7185139092139189,0.3928317382949237,0.6888888888888889,4.041,1.516,-1.466
-0.7817012055184205,0.24397179680595713,0.6888888888888889,4.041,1.516,-1.466
-0.8144029298737973,0.08559719714251164,0.6888888888888889,4.041,1.516,-1.466
-0.8153437474543398,-0.07611560833884685,0.6888888888888889,4.041,1.516,-1.466
-0.7844869673072391,-0.23485998056452623,0.6888888888888889,4.041,1.516,-1.466
-0.7230359732633657,-0.3844450464146684,0.6888888888888889,4.041,1.516,-1.466
-0.2382731809173614,0.8309573327111246,0.6888888888888889,4.041,1.516,-1.466
-0.39692388970566106,0.7679294390188414,0.6888888888888889,4.041,1.516,-1.466
-0.5400949603502232,0.6749530586160455,0.6888888888888889,4.041,1.516,-1.466
-0.6622028630517387,0.5556541781512531,0.6888888888888889,4.041,1.516,-1.466
-0.7584855106762943,0.41468533567632376,0.6888888888888889,4.041,1.516,-1.466
-0.8251879754319282,0.257544176275488,0.6888888888888889,4.041,1.516,-1.466
-0.859708927329463,0.09035904935803807,0.6888888888888889,4.041,1.516,-1.466
-0.8607020834728308,-0.08034999089229695,0.6888888888888889,4.041,1.516,-1.466
-0.828128711757167,-0.24792546116580924,0.6888888888888889,4.041,1.516,-1.466
-0.7632591413824946,-0.4058320842749146,0.6888888888888889,4.041,1.516,-1.466
-0.25082999379346915,0.8747481433038702,0.6888888888888889,4.041,1.516,-1.466
-0.41784147258218046,0.8083987282216337,0.6888888888888889,4.041,1.516,-1.466
-0.5685575482350036,0.71052256427576,0.6888888888888889,4.041,1.516,-1.466
-0.6971004432382699,0.5849367248147509,0.6888888888888889,4.041,1.516,-1.466
-0.7984571121386698,0.4365389330577239,0.6888888888888889,4.041,1.516,-1.466
-0.8686747453454361,0.27111655574501886,0.6888888888888889,4.041,1.516,-1.466
-0.9050149247851288,0.0951209015735645,0.6888888888888889,4.041,1.516,-1.466
-0.906060419491322,-0.08458437344574705,0.6888888888888889,4.041,1.516,-1.466
-0.8717704562070948,-0.26099094176709225,0.6888888888888889,4.041,1.516,-1.466
-0.8034823095016235,-0.4272191221351607,0.6888888888888889,4.041,1.516,-1.466
-0.13781867790849953,0.48063084796915945,0.7444444444444445,4.041,1.516,-1.466
-0.22958322669350575,0.44417512539650206,0.7444444444444445,4.041,1.516,-1.466
-0.31239425727198,0.39039701333832966,0.7444444444444445,4.041,1.516,-1.466
-0.38302222155948895,0.32139380484326974,0.7444444444444445,4.041,1.516,-1.466
-0.43871269897729104,0.239856556625123,0.7444444444444445,4.041,1.516,-1.466
-0.47729381612386595,0.14896514051924112,0.7444444444444445,4.041,1.516,-1.466
-0.4972609476841367,0.052264231633826645,0.7444444444444445,4.041,1.516,-1.466
-0.4978353953249022,-0.04647493046469618,0.7444444444444445,4.041,1.516,-1.466
-0.4789947561577444,-0.1434016163555452,0.7444444444444445,4.041,1.516,-1.466
-0.44147379642946344,-0.23473578139294543,0.7444444444444445,4.041,1.516,-1.466
-0.15037549078460727,0.5244216585619051,0.7444444444444445,4.041,1.516,-1.466
-0.2505008095700252,0.48464441459929447,0.7444444444444445,4.041,1.516,-1.466
-0.3408568451567604,0.42596651899804416,0.7444444444444445,4.041,1.516,-1.466
-0.41791980174602017,0.3506763515067677,0.7444444444444445,4.041,1.516,-1.466
-0.4786843004396665,0.2617101540065231,0.7444444444444445,4.041,1.516,-1.466
-0.5207805860373738,0.16253751998877197,0.7444444444444445,4.041,1.516,-1.466
-0.5425669451398025,0.05702608384935307,0.7444444444444445,4.041,1.516,-1.466
-0.5431937313433933,-0.05070931301814628,0.7444444444444445,4.041,1.516,-1.466
-0.5226365006076722,-0.1564670969568282,0.7444444444444445,4.041,1.516,-1.466
-0.48169696454859234,-0.2561228192531916,0.7444444444444445,4.041,1.516,-1.466
-0.162932303660715,0.5682124691546507,0.7444444444444445,4.041,1.516,-1.466
-0.2714183924465446,0.5251137038020869,0.7444444444444445,4.041,1.516,-1.466
-0.3693194330415408,0.4615360246577586,0.7444444444444445,4.041,1.516,-1.466
-0.4528173819325514,0.37995889817026557,0.7444444444444445,4.041,1.516,-1.466
-0.5186559019020419,0.2835637513879232,0.7444444444444445,4.041,1.516,-1.466
-0.5642673559508815,0.17610989945830285,0.7444444444444445,4.041,1.516,-1.466
-0.5878729425954683,0.061787936064879506,0.7444444444444445,4.041,1.516,-1.466
-0.5885520673618844,-0.054943695571596375,0.7444444444444445,4.041,1.516,-1.466
-0.5662782450576,-0.1695325775581112,0.7444444444444445,4.041,1.516,-1.466
-0.5219201326677213,-0.27750985711343773,0.7444444444444445,4.041,1.516,-1.466
-0.17548911653682275,0.6120032797473964,0.7444444444444445,4.041,1.516,-1.466
-0.292335975323064,0.5655829930048794,0.7444444444444445,4.041,1.516,-1.466
-0.39778202092632126,0.4971055303174731,0.7444444444444445,4.041,1.516,-1.466
-0.4877149621190826,0.4092414448337635,0.7444444444444445,4.041,1.516,-1.466
-0.5586275033644172,0.3054173487693233,0.7444444444444445,4.041,1.516,-1.466
-0.6077541258643894,0.1896822789278337,0.7444444444444445,4.041,1.516,-1.466
-0.6331789400511341,0.06654978828040593,0.7444444444444445,4.041,1.516,-1.466
-0.6339104033803755,-0.059178078125046475,0.7444444444444445,4.041,1.516,-1.466
-0.6099199895075279,-0.18259805815939423,0.7444444444444445,4.041,1.516,-1.466
-0.5621433007868502,-0.2988968949736839,0.7444444444444445,4.041,1.516,-1.466
-0.18804592941293047,0.655794090340142,0.7444444444444445,4.041,1.516,-1.466
-0.31325355819958345,0.6060522822076717,0.7444444444444445,4.041,1.516,-1.466
-0.42624460881110166,0.5326750359771876,0.7444444444444445,4.041,1.516,-1.466
-0.5226125423056138,0.4385239914972614,0.7444444444444445,4.041,1.516,-1.466
-0.5985991048267927,0.32727094615072344,0.7444444444444445,4.041,1.516,-1.466
-0.6512408957778971,0.20325465839736456,0.7444444444444445,4.041,1.516,-1.466
-0.6784849375068,0.07131164049593236,0.7444444444444445,4.041,1.516,-1.466
-0.6792687393988666,-0.06341246067849657,0.7444444444444445,4.041,1.516,-1.466
-0.6535617339574558,-0.19566353876067724,0.7444444444444445,4.041,1.516,-1.466
-0.6023664689059791,-0.32028393283393003,0.7444444444444445,4.041,1.516,-1.466
-0.2006027422890382,0.6995849009328877,0.7444444444444445,4.041,1.516,-1.466
-0.33417114107610285,0.6465215714104642,0.7444444444444445,4.041,1.516,-1.466
-0.45470719669588205,0.5682445416369021,0.7444444444444445,4.041,1.516,-1.466
-0.557510122492145,0.46780653816075934,0.7444444444444445,4.041,1.516,-1.466
-0.6385707062891681,0.3491245435321235,0.7444444444444445,4.041,1.516,-1.466
-0.694727665691405,0.21682703786689542,0.7444444444444445,4.041,1.516,-1.466
-0.7237909349624657,0.07607349271145879,0.7444444444444445,4.041,1.516,-1.466
-0.7246270754173577,-0.06764684323194667,0.7444444444444445,4.041,1.516,-1.466
-0.6972034784073836,-0.20872901936196023,0.7444444444444445,4.041,1.516,-1.466
-0.642589637025108,-0.3416709706941762,0.7444444444444445,4.041,1.516,-1.466
-0.21315955516514593,0.7433757115256333,0.7444444444444445,4.041,1.516,-1.466
-0.3550887239526222,0.6869908606132565,0.7444444444444445,4.041,1.516,-1.466
-0.4831697845806624,0.6038140472966165,0.7444444444444445,4.041,1.516,-1.466
-0.5924077026786763,0.4970890848242572,0.7444444444444445,4.041,1.516,-1.466
-0.6785423077515434,0.3709781409135236,0.7444444444444445,4.041,1.516,-1.466
-0.7382144356049126,0.23039941733642627,0.7444444444444445,4.041,1.516,-1.466
-0.7690969324181314,0.08083534492698521,0.7444444444444445,4.041,1.516,-1.466
-0.7699854114358486,-0.07188122578539675,0.7444444444444445,4.041,1.516,-1.466
-0.7408452228573114,-0.2217944999632432,0.7444444444444445,4.041,1.516,-1.466
-0.6828128051442368,-0.3630580085544223,0.7444444444444445,4.041,1.516,-1.466
-0.22571636804125367,0.7871665221183789,0.7444444444444445,4.041,1.516,-1.466
-0.37600630682914166,0.7274601498160489,0.7444444444444445,4.041,1.516,-1.466
-0.5116323724654428,0.639383552956331,0.7444444444444445,4.041,1.516,-1.466
-0.6273052828652075,0.5263716314877551,0.7444444444444445,4.041,1.516,-1.466
-0.7185139092139189,0.3928317382949237,0.7444444444444445,4.041,1.516,-1.466
-0.7817012055184205,0.24397179680595713,0.7444444444444445,4.041,1.516,-1.466
-0.8144029298737973,0.08559719714251164,0.7444444444444445,4.041,1.516,-1.466
-0.8153437474543398,-0.07611560833884685,0.7444444444444445,4.041,1.516,-1.466
-0.7844869673072391,-0.23485998056452623,0.7444444444444445,4.041,1.516,-1.466
-0.7230359732633657,-0.3844450464146684,0.7444444444444445,4.041,1.516,-1.466
-0.2382731809173614,0.8309573327111246,0.7444444444444445,4.041,1.516,-1.466
-0.39692388970566106,0.7679294390188414,0.7444444444444445,4.041,1.516,-1.466
-0.5400949603502232,0.6749530586160455,0.7444444444444445,4.041,1.516,-1.466
-0.6622028630517387,0.5556541781512531,0.7444444444444445,4.041,1.516,-1.466
-0.7584855106762943,0.41468533567632376,0.7444444444444445,4.041,1.516,-1.466
-0.8251879754319282,0.257544176275488,0.7444444444444445,4.041,1.516,-1.466
-0.859708927329463,0.09035904935803807,0.7444444444444445,4.041,1.516,-1.466
-0.8607020834728308,-0.08034999089229695,0.7444444444444445,4.041,1.516,-1.466
-0.828128711757167,-0.24792546116580924,0.7444444444444445,4.041,1.516,-1.466
-0.7632591413824946,-0.4058320842749146,0.7444444444444445,4.041,1.516,-1.466
-0.25082999379346915,0.8747481433038702,0.7444444444444445,4.041,1.516,-1.466
-0.41784147258218046,0.8083987282216337,0.7444444444444445,4.041,1.516,-1.466
-0.5685575482350036,0.71052256427576,0.7444444444444445,4.041,1.516,-1.466
-0.6971004432382699,0.5849367248147509,0.7444444444444445,4.041,1.516,-1.466
-0.7984571121386698,0.4365389330577239,0.7444444444444445,4.041,1.516,-1.466
-0.8686747453454361,0.27111655574501886,0.7444444444444445,4.041,1.516,-1.466
-0.9050149247851288,0.0951209015735645,0.7444444444444445,4.041,1.516,-1.466
-0.906060419491322,-0.08458437344574705,0.7444444444444445,4.041,1.516,-1.466
-0.8717704562070948,-0.26099094176709225,0.7444444444444445,4.041,1.516,-1.466
-0.8034823095016235,-0.4272191221351607,0.7444444444444445,4.041,1.516,-1.466
-0.13781867790849953,0.48063084796915945,0.8,4.041,1.516,-1.466
-0.22958322669350575,0.44417512539650206,0.8,4.041,1.516,-1.466
-0.31239425727198,0.39039701333832966,0.8,4.041,1.516,-1.466
-0.38302222155948895,0.32139380484326974,0.8,4.041,1.516,-1.466
-0.43871269897729104,0.239856556625123,0.8,4.041,1.516,-1.466
-0.47729381612386595,0.14896514051924112,0.8,4.041,1.516,-1.466
-0.4972609476841367,0.052264231633826645,0.8,4.041,1.516,-1.466
-0.4978353953249022,-0.04647493046469618,0.8,4.041,1.516,-1.466
-0.4789947561577444,-0.1434016163555452,0.8,4.041,1.516,-1.466
-0.44147379642946344,-0.23473578139294543,0.8,4.041,1.516,-1.466
-0.15037549078460727,0.5244216585619051,0.8,4.041,1.516,-1.466
-0.2505008095700252,0.48464441459929447,0.8,4.041,1.516,-1.466
-0.3408568451567604,0.42596651899804416,0.8,4.041,1.516,-1.466
-0.41791980174602017,0.3506763515067677,0.8,4.041,1.516,-1.466
-0.4786843004396665,0.2617101540065231,0.8,4.041,1.516,-1.466
-0.5207805860373738,0.16253751998877197,0.8,4.041,1.516,-1.466
-0.5425669451398025,0.05702608384935307,0.8,4.041,1.516,-1.466
-0.5431937313433933,-0.05070931301814628,0.8,4.041,1.516,-1.466
-0.5226365006076722,-0.1564670969568282,0.8,4.041,1.516,-1.466
-0.48169696454859234,-0.2561228192531916,0.8,4.041,1.516,-1.466
-0.162932303660715,0.5682124691546507,0.8,4.041,1.516,-1.466
-0.2714183924465446,0.5251137038020869,0.8,4.041,1.516,-1.466
-0.3693194330415408,0.4615360246577586,0.8,4.041,1.516,-1.466
-0.4528173819325514,0.37995889817026557,0.8,4.041,1.516,-1.466
-0.5186559019020419,0.2835637513879232,0.8,4.041,1.516,-1.466
-0.5642673559508815,0.17610989945830285,0.8,4.041,1.516,-1.466
-0.5878729425954683,0.061787936064879506,0.8,4.041,1.516,-1.466
-0.5885520673618844,-0.054943695571596375,0.8,4.041,1.516,-1.466
-0.5662782450576,-0.1695325775581112,0.8,4.041,1.516,-1.466
-0.5219201326677213,-0.27750985711343773,0.8,4.041,1.516,-1.466
-0.17548911653682275,0.6120032797473964,0.8,4.041,1.516,-1.466
-0.292335975323064,0.5655829930048794,0.8,4.041,1.516,-1.466
-0.39778202092632126,0.4971055303174731,0.8,4.041,1.516,-1.466
-0.4877149621190826,0.4092414448337635,0.8,4.041,1.516,-1.466
-0.5586275033644172,0.3054173487693233,0.8,4.041,1.516,-1.466
-0.6077541258643894,0.1896822789278337,0.8,4.041,1.516,-1.466
-0.6331789400511341,0.06654978828040593,0.8,4.041,1.516,-1.466
-0.6339104033803755,-0.059178078125046475,0.8,4.041,1.516,-1.466
-0.6099199895075279,-0.18259805815939423,0.8,4.041,1.516,-1.466
-0.5621433007868502,-0.2988968949736839,0.8,4.041,1.516,-1.466
-0.18804592941293047,0.655794090340142,0.8,4.041,1.516,-1.466
-0.31325355819958345,0.6060522822076717,0.8,4.041,1.516,-1.466
-0.42624460881110166,0.5326750359771876,0.8,4.041,1.516,-1.466
-0.5226125423056138,0.4385239914972614,0.8,4.041,1.516,-1.466
-0.5985991048267927,0.32727094615072344,0.8,4.041,1.516,-1.466
-0.6512408957778971,0.20325465839736456,0.8,4.041,1.516,-1.466
-0.6784849375068,0.07131164049593236,0.8,4.041,1.516,-1.466
-0.6792687393988666,-0.06341246067849657,0.8,4.041,1.516,-1.466
-0.6535617339574558,-0.19566353876067724,0.8,4.041,1.516,-1.466
-0.6023664689059791,-0.32028393283393003,0.8,4.041,1.516,-1.466
-0.2006027422890382,0.6995849009328877,0.8,4.041,1.516,-1.466
-0.33417114107610285,0.6465215714104642,0.8,4.041,1.516,-1.466
-0.45470719669588205,0.5682445416369021,0.8,4.041,1.516,-1.466
-0.557510122492145,0.46780653816075934,0.8,4.041,1.516,-1.466
-0.6385707062891681,0.3491245435321235,0.8,4.041,1.516,-1.466
-0.694727665691405,0.21682703786689542,0.8,4.041,1.516,-1.466
-0.7237909349624657,0.07607349271145879,0.8,4.041,1.516,-1.466
-0.7246270754173577,-0.06764684323194667,0.8,4.041,1.516,-1.466
-0.6972034784073836,-0.20872901936196023,0.8,4.041,1.516,-1.466
-0.642589637025108,-0.3416709706941762,0.8,4.041,1.516,-1.466
-0.21315955516514593,0.7433757115256333,0.8,4.041,1.516,-1.466
-0.3550887239526222,0.6869908606132565,0.8,4.041,1.516,-1.466
-0.4831697845806624,0.6038140472966165,0.8,4.041,1.516,-1.466
-0.5924077026786763,0.4970890848242572,0.8,4.041,1.516,-1.466
-0.6785423077515434,0.3709781409135236,0.8,4.041,1.516,-1.466
-0.7382144356049126,0.23039941733642627,0.8,4.041,1.516,-1.466
-0.7690969324181314,0.08083534492698521,0.8,4.041,1.516,-1.466
-0.7699854114358486,-0.07188122578539675,0.8,4.041,1.516,-1.466
-0.7408452228573114,-0.2217944999632432,0.8,4.041,1.516,-1.466
-0.6828128051442368,-0.3630580085544223,0.8,4.041,1.516,-1.466
-0.22571636804125367,0.7871665221183789,0.8,4.041,1.516,-1.466
-0.37600630682914166,0.7274601498160489,0.8,4.041,1.516,-1.466
-0.5116323724654428,0.639383552956331,0.8,4.041,1.516,-1.466
-0.6273052828652075,0.5263716314877551,0.8,4.041,1.516,-1.466
-0.7185139092139189,0.3928317382949237,0.8,4.041,1.516,-1.466
-0.7817012055184205,0.24397179680595713,0.8,4.041,1.516,-1.466
-0.8144029298737973,0.08559719714251164,0.8,4.041,1.516,-1.466
-0.8153437474543398,-0.07611560833884685,0.8,4.041,1.516,-1.466
-0.7844869673072391,-0.23485998056452623,0.8,4.041,1.516,-1.466
-0.7230359732633657,-0.3844450464146684,0.8,4.041,1.516,-1.466
-0.2382731809173614,0.8309573327111246,0.8,4.041,1.516,-1.466
-0.39692388970566106,0.7679294390188414,0.8,4.041,1.516,-1.466
-0.5400949603502232,0.6749530586160455,0.8,4.041,1.516,-1.466
-0.6622028630517387,0.5556541781512531,0.8,4.041,1.516,-1.466
-0.7584855106762943,0.41468533567632376,0.8,4.041,1.516,-1.466
-0.8251879754319282,0.257544176275488,0.8,4.041,1.516,-1.466
-0.859708927329463,0.09035904935803807,0.8,4.041,1.516,-1.466
-0.8607020834728308,-0.08034999089229695,0.8,4.041,1.516,-1.466
-0.828128711757167,-0.24792546116580924,0.8,4.041,1.516,-1.466
-0.7632591413824946,-0.4058320842749146,0.8,4.041,1.516,-1.466
-0.25082999379346915,0.8747481433038702,0.8,4.041,1.516,-1.466
-0.41784147258218046,0.8083987282216337,0.8,4.041,1.516,-1.466
-0.5685575482350036,0.71052256427576,0.8,4.041,1.516,-1.466
-0.6971004432382699,0.5849367248147509,0.8,4.041,1.516,-1.466
-0.7984571121386698,0.4365389330577239,0.8,4.041,1.516,-1.466
-0.8686747453454361,0.27111655574501886,0.8,4.041,1.516,-1.466
-0.9050149247851288,0.0951209015735645,0.8,4.041,1.516,-1.466
-0.906060419491322,-0.08458437344574705,0.8,4.041,1.516,-1.466
-0.8717704562070948,-0.26099094176709225,0.8,4.041,1.516,-1.466
-0.8034823095016235,-0.4272191221351607,0.8,4.041,1.516,-1.466
